Nombre,CIIU,CODIGOCLIE,Fecha,Max_potencia_ap,Min_potencia_ap,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,kmeans_cluster,gaussian_cluster,birch_cluster,Tipo
INDUSTRIA PIOLERA PONTE SELVA S.A.,C1311.02,90000638,0000-00-00,0.26704456556912,0.0056,0.2009794635792933,0.2039096067932378,0.2010738733343208,0.2013706561950004,0.2030790422438568,0.1982817995595913,0.2007491096987632,0.1956977379033346,0.1979682679467326,0.1980575751350366,0.2013384039209003,0.199645727511868,0.2012854058870589,0.2014816579512758,0.1985888001773917,0.2027960657209105,0.2009567536247315,0.2046941191192048,0.2108698584060731,0.2182541323970503,0.2227010091128712,0.2326772439630882,0.2489541335648111,0.280899030056265,0.3021338019229007,0.3017807831296543,0.3234207845670805,0.317243568257511,0.315612463203879,0.3047869486772067,0.297034815281344,0.3029772879409144,0.3294681346303342,0.371355926787338,0.3792292250199798,0.3933806153881656,0.4031151228656543,0.407075727663034,0.4069160654711817,0.407769468966868,0.4180937212849788,0.4387659232452939,0.4562566591371435,0.4552755548632028,0.4645038303176347,0.4691919126490205,0.4715536821725059,0.4732282468491294,0.4805614176496945,0.4859574379010223,0.4854160827187975,0.5009153618254035,0.5124842691597501,0.5233006680917704,0.5412796522027861,0.5363479815195772,0.5487908838155313,0.4952323728249957,0.5040553777255375,0.4993376673958096,0.4950712240324648,0.4882658155035063,0.4809074477127769,0.4686520826934345,0.4628454584758991,0.4537114628890241,0.4326070913257357,0.3987223992490267,0.4030288655598175,0.3708704620062513,0.3523513183517994,0.3353379242699817,0.3276111493262059,0.3196834522883197,0.3150165921460969,0.3135626088628462,0.3122099081866786,0.2982641331269102,0.2953571193848641,0.2892087655848322,0.2878577629922619,0.2901605891604,0.3011801823427038,0.3215009293783242,0.2543526127399581,0.2343231227941941,0.2506919609843476,0.2444882029540397,0.2353281437420558,0.2166275225096254,0.2112998035215018,0.2180640800573001,0.2266155414253571,0.227843384608341,0.2235687197972978,0.2254926902981407,0,3,2,Curva tipo
Desconocido,Desconocido,90000642,0000-00-00,0.2616,0.0,0.0883256880733944,0.0881192660550458,0.0857110091743118,0.0831536697247706,0.0837041284403669,0.0836811926605504,0.0821100917431192,0.0823623853211008,0.0840596330275229,0.0830963302752293,0.0813532110091742,0.0807454128440366,0.0813188073394495,0.0810779816513761,0.0829816513761467,0.0827981651376146,0.0808715596330274,0.0796674311926605,0.080940366972477,0.0810894495412843,0.080584862385321,0.0807683486238531,0.0823509174311926,0.0800802752293577,0.0842087155963302,0.0831995412844036,0.0853211009174311,0.084334862385321,0.0872821100917431,0.0855045871559632,0.0852752293577981,0.0819495412844036,0.0837729357798164,0.0922018348623852,0.0979357798165137,0.1050458715596329,0.1147591743119265,0.1029243119266054,0.0994266055045871,0.1000229357798164,0.1060665137614678,0.1121788990825687,0.1183142201834862,0.1134977064220183,0.1159977064220183,0.1162614678899082,0.1092201834862384,0.1174197247706421,0.1136353211009174,0.1096788990825687,0.1076720183486238,0.1102981651376146,0.1073279816513761,0.106880733944954,0.1026605504587155,0.1029587155963302,0.1028440366972476,0.1007110091743118,0.1054357798165137,0.1002522935779816,0.1006651376146788,0.1144036697247706,0.1137270642201834,0.1096215596330274,0.1013646788990825,0.1055160550458715,0.1029587155963302,0.1041055045871559,0.1063302752293577,0.1038646788990825,0.1069839449541284,0.1072477064220183,0.112144495412844,0.1135894495412843,0.1143807339449541,0.1162385321100916,0.1203784403669724,0.1182568807339449,0.1136353211009174,0.1113188073394495,0.1160435779816513,0.1163073394495412,0.1144036697247706,0.108038990825688,0.1116743119266054,0.1159747706422018,0.1084518348623852,0.1028555045871559,0.0987844036697247,0.0975458715596329,0.0986238532110091,0.0940137614678898,0.091880733944954,0.0937385321100917,0.0898394495412843,0.0903784403669724,1,2,3,Curva tipo
INEXA INDUSTRIA EXTRACTORA C.A.,C2011.91,90000643,0000-00-00,0.752825291817431,0.0,0.406379435413927,0.4089237691523427,0.41123835854489,0.4127008166366147,0.4137852330581604,0.4159851856453175,0.4181328839633342,0.4205923746223841,0.4200538104001655,0.4253318283918065,0.425165432642603,0.4324293683751589,0.4320398075865031,0.4385541903690586,0.4497101867639333,0.4587090463264272,0.4637970010985088,0.4659961107933312,0.4713623047867812,0.4738124754523568,0.4678898422437174,0.4610331178614132,0.4565690923936211,0.4539982346856403,0.449136898949807,0.4478967592352113,0.450697358646995,0.4433790345791473,0.446651975441919,0.4488180752450818,0.4520279045004399,0.4681683667010637,0.4839159568984635,0.5032356907355587,0.5108061747311322,0.5225950569044521,0.5291143241932463,0.5288122588783701,0.5268730745353538,0.5241726230510342,0.5238042749411012,0.5150569171636088,0.5191233966527188,0.517569429415775,0.5211049499277838,0.5212917158175294,0.5114944394294073,0.5122013034936983,0.5084586340137752,0.5009334733050678,0.4975955333340824,0.4996890052450123,0.5022954646957843,0.4940855665980778,0.4863711645320593,0.4819205061666131,0.4744714614849534,0.4731982630131469,0.4694228425914404,0.4829437140030809,0.4886141366576246,0.4541486994611096,0.4416143472058523,0.4389397973829358,0.4368715369667372,0.4371151335347323,0.4174901715161484,0.4088844372366848,0.403073999220816,0.4027475647421309,0.4008858983968892,0.3984100403645777,0.3980935937238101,0.4003251630780982,0.4024454003919956,0.4044791442032583,0.4067101241688422,0.409942073347199,0.4088108536720943,0.4093974493021846,0.407022576363139,0.4047713323613725,0.4034338176852245,0.4013068264104263,0.4018742420790339,0.4028830110085437,0.4002785420125436,0.40097546650115,0.4038012978554741,0.4148890326690269,0.4032765400921373,0.4006959137114643,0.4004610814292315,0.4015145175274577,0.4021515512353588,0.3995741782489783,0,5,2,Curva tipo
TEXTILES MAR Y SOL SA,C1312.01,90000644,0000-00-00,0.5523694777954335,0.0038,0.4431015865033521,0.4404970517128916,0.4406465533002357,0.4402520787047984,0.4383163162607575,0.4368018685104857,0.4347132691410545,0.4335278738262397,0.4302554283324634,0.4141685532475503,0.4098502248299844,0.3908060784719184,0.360657142120573,0.382442530636275,0.4218538085333236,0.4238805406435046,0.423827646773675,0.4215040392450104,0.4170100396742669,0.4106061413973841,0.4031738462081474,0.3979933238389069,0.3921776876359759,0.3893360997824875,0.3639720365242239,0.3647119260024425,0.4014278403442559,0.4046853332504286,0.419018299453496,0.4440771253702945,0.4619838956052383,0.4742547284068541,0.4878006493690907,0.5083059440169746,0.5080011573923171,0.4901650925633554,0.4932737078001551,0.5003392156787705,0.5045690617325052,0.5090354471761673,0.5114149915300843,0.522256747202193,0.531871451770973,0.5353709139075102,0.5373520249320975,0.5417376663645994,0.5471456131681119,0.5510123659226921,0.5542009374690453,0.5534260325392831,0.5534809222794403,0.5407466840490406,0.530003868054131,0.5287295511429003,0.5305628138144115,0.5297373923927425,0.5119772462509841,0.512066508571235,0.5238963034894514,0.5257030732909665,0.5250689374464388,0.5286622309064922,0.5287009280484133,0.5279010421883247,0.5274378649446136,0.5214628397707541,0.5153146914751899,0.5066628039624769,0.5010703261903863,0.4980959604951502,0.5002899174594851,0.501279622478062,0.4791657103121505,0.4642254737052871,0.4823505380139481,0.4816525934323933,0.4888659199609187,0.4902578616360799,0.4964102819702432,0.5012720492368044,0.5007941261426052,0.4929845297697835,0.4911428461691797,0.4869526885001359,0.4859765929596764,0.484873752221271,0.4842769250350617,0.4699396251998614,0.4610511217852881,0.4422617176853448,0.4220117679086325,0.439761321141009,0.4631858534900095,0.4644585843746519,0.4656408530497036,0.464141949481227,0,0,2,Curva tipo
SURPAPELCORP S.A.,C1702.01,90000657,0000-00-00,0.3849290973672944,0.0,0.57165473121139,0.5677693073423762,0.5660175735068399,0.5718489061672065,0.5736371252407335,0.5797763184128911,0.5784471258465136,0.5781166684032715,0.5788297217708278,0.5788052196938033,0.5777060553587475,0.5788586446971271,0.5762832785096005,0.5771476828570307,0.5816709812629354,0.5827683704241798,0.5820270899151132,0.5798016404942379,0.5781026493571368,0.5782714384581659,0.5738937512075694,0.5636704780679125,0.5603142844814625,0.5541920923679974,0.5324315152412468,0.5196415991432526,0.5341708494425501,0.5424346647187973,0.551636697577693,0.5510794401684362,0.5481882075917982,0.5424924284742162,0.5387240722861025,0.5394962002219639,0.5386276498753853,0.5402108133852473,0.537818976914132,0.5325793561547486,0.5329692215335132,0.5391736241404285,0.5325727196078742,0.5279872303640877,0.5271358833849978,0.5307064546044078,0.5309333487380434,0.5320983187912062,0.5324727400441254,0.5390026116518416,0.5388673493581485,0.5356409094597304,0.5388294071879013,0.5412377920982968,0.547708475705755,0.5432226708160207,0.5406348880206022,0.540751590573398,0.5223103886867824,0.5144780093268718,0.5230545284411753,0.52801323290675,0.5389455563553978,0.5468479899501124,0.5490368462039451,0.5535424749748017,0.5530095306240057,0.5588833539819197,0.5613640767310751,0.5627590194663307,0.5679931304060738,0.5669215789701469,0.5647228735587699,0.5647285732817705,0.5632056203723115,0.5658094424571511,0.5659748745327398,0.5692544964889332,0.5686452197136832,0.5717956329863089,0.5727347719263713,0.573128776134689,0.5702958275354276,0.5739941066364631,0.5757051705294645,0.569927031966846,0.550074967256039,0.538645827136021,0.5533760208530111,0.5635353237155155,0.578729214055456,0.5785262394378922,0.5800930334708886,0.5787595825675772,0.5818939116025708,0.5853853028088661,0.5888977907917132,0.5869482911918876,4,0,0,Curva tipo
LA INDUSTRIA HARINERA S.A.,C1061.11,90000659,0000-00-00,0.065299310869258,0.0068,0.1609021244386752,0.1613715021831993,0.1632852072180108,0.1634804938976241,0.1625430324208729,0.1604332592978744,0.1625056334355346,0.1570335432285713,0.1591440015101682,0.1600808733280665,0.158167036049933,0.1595338982161727,0.1585969435177514,0.1589475786858469,0.155276949566938,0.1570345124085148,0.1570730413225984,0.1585184943487275,0.1576981968619854,0.1570340111852887,0.1518365696245448,0.1548849825744463,0.1535955526032503,0.1668458487339352,0.1790773672902126,0.2404112693188063,0.2852695983220714,0.2747230767875167,0.2722791122731854,0.2984932658212576,0.3311363616574279,0.3903358659702297,0.4413516468467921,0.4639944776261619,0.4803656398126278,0.5004129357134742,0.4954994498273415,0.4971175057780977,0.5006457717010689,0.4862380595235701,0.4744554107906187,0.4276167012199318,0.4552835198179004,0.5229471152822255,0.5365460594277572,0.5379861606960761,0.5387731091786276,0.5234807494504697,0.5328753876283299,0.5265111350619923,0.5212157991604359,0.474287303003393,0.4439670211636181,0.407514031992539,0.4218326416807681,0.4507183966200085,0.4678610467230237,0.442168983063994,0.4285685237779063,0.418499437691589,0.4094571919139778,0.375167428203396,0.3656606900447361,0.3511513842064351,0.3231630234242242,0.2845344404707801,0.2626519727605627,0.2328537579454695,0.1996534048663232,0.1641699018582075,0.1501587547939201,0.1494567465362202,0.132613524419718,0.126089068187841,0.1498845724654407,0.2021630396202041,0.2118517893471823,0.2080617751782821,0.2066953276844861,0.2036475793579896,0.1999346692366698,0.1957930594100929,0.2011075655421994,0.1962231192680628,0.1990755655211891,0.1959109921270864,0.1916519333084353,0.1865324670557468,0.184739179534689,0.1800089785078944,0.1765709361262506,0.1759839994720471,0.1691459395771055,0.1684039319268656,0.1642998597523559,0.1622696848306315,2,1,1,Curva tipo
INDUSTRIA LICORERA IBEROAMERICANA ILSA S.A.,C1101.01,90000662,0000-00-00,0.128,0.0064,0.0676302154349604,0.0640680392691573,0.0628579220070902,0.0616307608399235,0.0616307608399235,0.0588014725934005,0.0591253067902917,0.0597900190891736,0.0600627215707662,0.0596877556585764,0.0595343605126806,0.0588355604035996,0.0580685846741204,0.0578470139078265,0.0584094627761112,0.0581878920098172,0.0588866921188982,0.057642487046632,0.0578981456231251,0.0578470139078265,0.0586480774475047,0.0577617943823288,0.0584946823016089,0.0570118625579492,0.0569948186528496,0.0539950913553312,0.0477399781838014,0.0417064357785655,0.0456265339514589,0.0603524679574583,0.0829697300245431,0.0956844832287973,0.1206708481047177,0.2553349476369576,0.2950901500132101,0.321331308528213,0.3380802188861616,0.3593967389850778,0.3762877430141906,0.396927884467385,0.4030309237298148,0.4052126545105849,0.4114719884269208,0.4140050878656115,0.4199382853408786,0.4199945668583294,0.410641215019598,0.4092511403338426,0.4097634713001164,0.4165321448622132,0.4024725479249891,0.3484756305801098,0.2412718756535552,0.2324128386799696,0.3023994690808234,0.3878087793422249,0.3994694333221684,0.4004349915382177,0.3976267830170421,0.4002067891695292,0.3977188051240654,0.3870487202297349,0.3779152905749411,0.3685266393174465,0.3565473473648953,0.343230328854606,0.3217720264225618,0.2608740634161465,0.1699788655576765,0.1624284155985819,0.154520043632397,0.1479240523588764,0.1441232615216798,0.1420268611944368,0.1415666757567493,0.1438335151349876,0.1410894464139623,0.1392146168530133,0.1340503136078537,0.1293802836105808,0.1220684483228796,0.1168871011726206,0.1104956367602944,0.1065755385874011,0.1016328061085355,0.0942698391055358,0.0879295064085082,0.0835662667030269,0.0800211344423233,0.077311153531497,0.0742432506135805,0.0726752113444231,0.0704935914916825,0.0711412598854649,0.0702379329151894,0.0665734933187891,2,1,1,Curva tipo
AYMESA S.A.,C2910.01,90000664,0000-00-00,0.2794029348450012,0.0192,0.0844433741925011,0.0838867794473528,0.0832506711671833,0.081421859861696,0.0790364538110604,0.0760149394802552,0.0746632093848951,0.0744246687798315,0.0745836958498739,0.0760944530152764,0.0748222364549374,0.0753788312000857,0.0752198041300434,0.0741861281747679,0.0742656417097891,0.0752993176650645,0.073788560499662,0.0737090469646408,0.0755378582701281,0.0762534800853188,0.0761743215143619,0.0749812635249798,0.0730729386844713,0.0737090469646408,0.0796746351809884,0.091997160019514,0.0863516990330096,0.0849204554026283,0.0998815010867014,0.2231976900441911,0.3383029886404298,0.4246167939103616,0.4609886056504031,0.4714590712287632,0.4750157627512826,0.4516887828616824,0.4420727422794768,0.3031438609071449,0.3015207032008168,0.4217958012331044,0.5250910172267895,0.5415587041419191,0.5272890802831461,0.519086349379819,0.5341977497469167,0.491709266466322,0.3319896860748119,0.287196476528896,0.2715112144965922,0.2729757289752627,0.2819492229061065,0.3747699417368255,0.4696829377579986,0.4781981618916116,0.4858156264000969,0.5025205845418289,0.5008171950069716,0.5020315280931026,0.4767019039461581,0.4508469201595589,0.4003778637320508,0.3209819320942628,0.2692344382686553,0.2055585210139823,0.1859059686521705,0.1479649481333901,0.1370646087300085,0.1227709767691476,0.1205440516530616,0.1120476053424241,0.1111608085662508,0.102095733931269,0.1020162235939931,0.1077420083959612,0.1164078152710185,0.1229279251427559,0.1261084665436034,0.1238820875630102,0.1202244649520355,0.1172029506212304,0.1194293296018237,0.1231664657478195,0.1133863009402134,0.113624841545277,0.1156921934558278,0.1139428956853617,0.1102852730743871,0.1059120286482218,0.1003460811967386,0.0962113773756369,0.0929513224397682,0.0914411252010704,0.0892936998287936,0.0850794824726706,0.0808652651165477,0.0786388861359544,2,1,1,Curva tipo
Desconocido,Desconocido,90000672,0000-00-00,1.2503199590504823,0.0051264022471905,0.0132153917220196,0.0136294692209417,0.013185767325367,0.0135434713248155,0.0133008582401228,0.0134981080560673,0.0133359120215851,0.0134236242274725,0.0132961211165953,0.0132076023104977,0.0130085874691822,0.0132112045415166,0.013254689081916,0.0132624817849668,0.0129537742924586,0.013067530532174,0.0130399568822347,0.0133199628800372,0.0129555750337561,0.0133221127070978,0.0130817544739592,0.0130297233140041,0.0129364364076515,0.0129638298097721,0.0134129164571167,0.0146563943815045,0.0187692260362541,0.0330050398275178,0.0625761643240083,0.0970925564270934,0.2123761937329711,0.4260801640540998,0.5439139432969908,0.5856277687379975,0.6064294922816234,0.6148506729789095,0.618105128871272,0.6149337665176577,0.61330047162448,0.603078452840483,0.5938015839687352,0.5878147741094906,0.5813173493457898,0.5810184629668933,0.5800218560524942,0.5734973607328936,0.5710171086957985,0.5717007044725846,0.5647252823928275,0.4858133934052103,0.4834067562496077,0.5475572852418912,0.5335347735573969,0.4720083383448671,0.4642748125996939,0.4880915971049274,0.5478889411612357,0.5606284526517143,0.5598434033992644,0.5516521925987744,0.5483499487166863,0.5448825270898836,0.5325892869493021,0.5184783341954272,0.4305848537649449,0.227170044620378,0.1705377887064925,0.1559822701378629,0.1477917158661475,0.1334439301632679,0.1273969299155651,0.1236687036412802,0.1019912363341911,0.061063967323674,0.0531541073476989,0.04864587177201,0.0456459382306771,0.0391459230344382,0.0369464606514347,0.034852026521328,0.0311783288510564,0.027853330258308,0.0263193891554871,0.025667162382667,0.0234752990925156,0.0216778739419866,0.0189043097907836,0.0164225079606148,0.0152701503488477,0.0146080721038689,0.0142370498231799,0.0140035529117679,0.0139131700608983,0.0137803283463,0.0136994429239287,0.0136239048358115,2,1,1,Curva tipo
Desconocido,Desconocido,90000682,0000-00-00,0.2568007009336228,0.0,0.0379174172602588,0.0378389649421061,0.0377789056252613,0.037561110813864,0.0377685556153737,0.0376713212983227,0.0376002413816407,0.0378163556544573,0.0377003038628538,0.037918631675782,0.0377264703274496,0.037885560257798,0.0377355835001953,0.0378550378536874,0.0375695452132521,0.037692121022412,0.0377042169713714,0.0376630273682844,0.0376074909132103,0.0374218504194544,0.0372739950761665,0.0371538619985372,0.0368539947023546,0.0368005610549078,0.0366453509169911,0.0389542857512424,0.0410678428906693,0.0619799958802095,0.0701198686605982,0.079733704288109,0.0967061014606394,0.0975510862685127,0.0899092333151389,0.0825907875007502,0.0792631369783549,0.0767320007678847,0.0795706637058484,0.0843749713854734,0.0817204316059755,0.0790269037510885,0.0748050758130284,0.0692686949981818,0.0528810896609997,0.052258013851416,0.0481363289194085,0.0442133090439322,0.041436929171948,0.0412392205094601,0.0443627155871096,0.0382112262796344,0.0352743917587411,0.0329633471452035,0.0323661037141715,0.0302078322986539,0.0285111183441575,0.0267567132097558,0.0257652487404874,0.0253645426703405,0.0245057308854837,0.024275434252197,0.0240173810653418,0.023698141340315,0.0232682909866539,0.0229977194490527,0.0234535872584281,0.0232525365470932,0.0231906541181547,0.0236997310487736,0.0239941421550113,0.0253531455438821,0.0275218831951357,0.0304321269597044,0.034649914913942,0.0364885832785671,0.036560057300224,0.0366950307519806,0.0370135020539605,0.0371016386366541,0.0370698892553556,0.0372796311723628,0.037221459809263,0.0375127423025997,0.0376005912513569,0.0378100260647456,0.0380514391818902,0.0381187910366839,0.0380861307403904,0.0380995008757992,0.0383915217549704,0.0379645320548393,0.0381463368278423,0.038140210412322,0.0382023234277239,0.0378798917174488,0.0379713995597847,0.0382152828731419,1,2,3,Curva tipo
