Nombre,CIIU,CODIGOCLIE,Fecha,Max_potencia_ap,Min_potencia_ap,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Desconocido,Desconocido,90001352,2023-08-18,0.8814351252361118,0.003,0.0075133607598239,0.010928524741562,0.010928524741562,0.0116115575379096,0.010928524741562,0.0068303279634762,0.0075133607598239,0.0075133607598239,0.0075133607598239,0.0075133607598239,0.0068303279634762,0.0081963935561715,0.0075133607598239,0.0061472951671286,0.0075133607598239,0.0095624591488667,0.0102454919452144,0.0116115575379096,0.010928524741562,0.0061472951671286,0.0068303279634762,0.0075133607598239,0.0068303279634762,0.0061472951671286,0.0095624591488667,0.1824500960536987,0.3477992106591355,0.7667735984785568,1.0,0.9127334946770006,0.6736257420590823,0.8620652846476231,0.935673708675197,0.93497992785112,0.8508349792458668,0.858844420936114,0.793273130208038,0.9399740479880908,0.7836336607633394,0.8241105700159334,0.91320594176297,0.9193760471114408,0.8379018704514869,0.7134377620318332,0.6882138084659992,0.6964185192392152,0.7308374675002294,0.5463316225316989,0.5418974486380547,0.0675150870312082,0.1140744189634258,0.6290363235402925,0.6614343785394932,0.6694068112428782,0.7226679748404805,0.7273038434236788,0.5472910147317902,0.1820493086418826,0.1789494762207728,0.0806422831269234,0.0710354108201532,0.0726502828295038,0.0635220500603293,0.0715630481914114,0.0721641973416669,0.0519147086136054,0.0604036426644127,0.0416701747711458,0.0615304447521438,0.0498613941333768,0.0693494710153566,0.0636925910094474,0.0500755062406161,0.0040981967780857,0.0040981967780857,0.0075133607598239,0.0150267215196478,0.0075133607598239,0.0075133607598239,0.0061472951671286,0.0061472951671286,0.0061472951671286,0.0068303279634762,0.005464262370781,0.0061472951671286,0.0068303279634762,0.0061472951671286,0.005464262370781,0.0068303279634762,0.0047812295744333,0.0047812295744333,0.0061472951671286,0.0047812295744333,0.0047812295744333,0.005464262370781,0.005464262370781
WESTFALIASA S.A.,G4641.12,90001374,2023-10-19,1.132463690367157,0.0059908263203,0.8103245662341867,0.8242461326252969,0.8146649629812801,0.8215912774461333,0.8130496927767134,0.763670472190564,0.7703570966117266,0.7561747320536932,0.7663543072697403,0.8100868510452779,0.8108721249934366,0.8215069168615242,0.808571866327902,0.796924070279561,0.7894188918652961,0.7944873348971914,0.7809097842861938,0.8061552978464379,0.8042952389572585,0.7809911591157429,0.7996535770775635,0.7773007364699559,0.7720328877303152,0.7846836297269641,0.7787382630685056,0.7834184588432973,0.8124488524577469,0.8134449420984943,0.8026259100533811,0.7834808826618102,0.7254381282570622,0.7987108998157655,0.8941385195720641,0.9537141181759796,0.9878090331672864,0.950407030197505,0.977044400186834,0.9753016148145788,0.9388613095919576,0.9454402508134292,0.9635224645285174,0.9709661418126184,0.976521442322954,1.0,0.9649628875283768,0.9706627279931718,0.9435636524027036,0.9526715249101052,0.9867206266870504,0.9680361182520376,0.9302690254257832,0.9549499693498524,0.989713885377322,0.9518283333758772,0.958983107358011,0.956534773431538,0.9023132020461806,0.898995696942835,0.9222571778130332,0.9012999866941068,0.9283386772822272,0.9295901980207696,0.982177187975764,0.7950156969323317,0.8271308875204254,0.8755150530497262,0.9174777308982331,0.8584391227141869,0.8914935302613558,0.9344873194339748,0.9793831035077832,0.9386076590317048,0.7339708349766182,0.8583323014279761,0.8809215762479528,0.914895070877961,0.90547813396233,0.907415844262522,0.9512942761297752,0.9670613556764318,0.9328891827808198,0.9368979972715656,0.9226031767125932,0.9016858421622204,0.9228015754123492,0.9299590613315626,0.9328580742696364,0.9190440925572856,0.9385777199956916,0.8919777443319414,0.8843630295547884,0.8974570829713762,0.927268362177666,0.9169260164433704,0.9281395601380172,0.9360116109222384
Desconocido,Desconocido,90001402,2023-01-31,0.5721,0.0078,0.2626262626262626,0.176501860712387,0.1440723019670388,0.0978203083466241,0.0972886762360446,0.098883572567783,0.0978203083466241,0.0978203083466241,0.0983519404572036,0.0983519404572036,0.0781499202551834,0.075491759702286,0.0749601275917065,0.0749601275917065,0.0776182881446039,0.0786815523657629,0.0792131844763423,0.0839978734715576,0.0940988835725677,0.0839978734715576,0.0760233918128654,0.0749601275917065,0.0717703349282296,0.0446570972886762,0.0441254651780967,0.0404040404040404,0.0388091440723019,0.0202020202020202,0.0903774587985114,0.3253588516746411,0.3748006379585327,0.6065922381711856,0.5241892610313663,0.5661881977671451,0.5720361509835195,0.5832004253056885,0.5757575757575758,0.5789473684210527,0.583732057416268,0.5619351408825094,0.5619351408825094,0.6023391812865497,0.6305156831472621,0.5847953216374269,0.582668793195109,0.6076555023923446,0.5507708665603402,0.544922913343966,0.5688463583200425,0.5762892078681553,0.582668793195109,0.7549175970228602,0.6081871345029239,0.468367889420521,0.4354066985645933,0.3992557150451887,0.6390217969165338,0.6565656565656567,0.6071238702817651,0.5874534821903243,0.5465178096757044,0.5629984051036683,0.5619351408825094,0.5412014885699096,0.3678894205209995,0.1424774056353003,0.3519404572036151,0.3232323232323232,0.4471544162876031,0.5560871876661351,0.5794790005316321,0.5640616693248273,0.572567783094099,0.7538543328017012,0.8819776714513556,0.8798511430090378,0.8888888888888888,0.7793726741095163,0.7054758107389686,0.8601807549175972,0.8766613503455608,0.9085592769803296,0.9005847953216375,0.9005847953216375,0.8856990962254121,0.9059011164274324,1.0000000000000002,0.997873471557682,0.9128123338649656,0.6953748006379585,0.6778309409888357,0.7006911217437534,0.6767676767676768,0.7060074428495482,0.9080276448697502,0.6454013822434875
Desconocido,Desconocido,90001403,2023-01-19,1.0247536289274608,0.0036,0.0082259904504503,0.0070508489575288,0.0076384197039896,0.008813561196911,0.008813561196911,0.008813561196911,0.0105762734362932,0.0082259904504503,0.0099887026898325,0.0094011319433718,0.0105762734362932,0.0099887026898325,0.0094011319433718,0.0105762734362932,0.0099887026898325,0.0099887026898325,0.0076384197039896,0.0076384197039896,0.0076384197039896,0.0082259904504503,0.0094011319433718,0.008813561196911,0.008813561196911,0.008813561196911,0.0076384197039896,0.0076384197039896,0.011163844182754,0.0076384197039896,0.0229152591119687,0.5452725726700214,1.0,0.9824184631630144,0.9294631016307056,0.8106110412929713,0.8150422400368244,0.8472877695223411,0.8255833284752812,0.8039207858388606,0.8668824520726516,0.8777400087949203,0.8815646320193967,0.8292024659515457,0.7907687406138368,0.8218862139496188,0.84072459609434,0.8204568162962972,0.8486395520874999,0.8486241569288323,0.7469303206675925,0.3381690672439776,0.3043666925572975,0.6552338880618014,0.8317102667210279,0.8381294207804899,0.8505207322490392,0.8689730156352514,0.8655582506673044,0.8568515124017402,0.9043685414517182,0.906679506651085,0.8869195770204038,0.8771037662759982,0.8704690261014991,0.868109983415758,0.8700215590571231,0.7969902846373053,0.3938118802316678,0.0299661080694976,0.0146892686615184,0.0129265564221362,0.0135141271685969,0.011163844182754,0.0094011319433718,0.011163844182754,0.0123389856756755,0.0146892686615184,0.0164519809009006,0.0152768394079791,0.0141016979150577,0.0123389856756755,0.0129265564221362,0.0135141271685969,0.0129265564221362,0.0123389856756755,0.0129265564221362,0.0129265564221362,0.0123389856756755,0.011163844182754,0.011163844182754,0.0141016979150577,0.0129265564221362,0.0123389856756755,0.011163844182754,0.0105762734362932,0.0099887026898325,0.0094011319433718
Desconocido,Desconocido,90001423,2023-10-11,2.330669339481686,0.0,0.063072010048706,0.0722110155863756,0.0698940846049946,0.0697653662171401,0.0671909984600501,0.0595966135766344,0.0602402055159069,0.0671909984600501,0.0678345903993226,0.0710525500956851,0.0695079294414311,0.0674484352357591,0.0686069007264496,0.0705376765442671,0.0701515213807036,0.0691217742778676,0.0687356191143041,0.0677058720114681,0.0679633087871771,0.0678345903993226,0.0662899697450686,0.0657750961936505,0.0686069007264496,0.0652683463741005,0.0578037291122861,0.0436357233323927,0.0299075726890923,0.034402502622952,0.0898454347224424,0.0984688936690718,0.2896022133038394,0.3878491790208371,0.6151155337908477,0.6379012276058125,0.6274589427330174,0.662777466197844,0.6002186042712756,0.6311196445312013,0.6638887165867954,0.7359726164452286,1.0,0.9033394833060358,0.8787849064388622,0.8544648278739935,0.7608434589390565,0.7296368860962067,0.6070987991841535,0.7260508741203585,0.756759124630238,0.6990713182858497,0.5836425131498857,0.3888308092692977,0.2180994351340642,0.2058266590416782,0.243356946232055,0.4383463640976873,0.4909469324436323,0.5198182888103817,0.742309579534397,0.7946766370889993,0.8401161639456656,0.8376530643392569,0.6485392017788899,0.4765433043766397,0.2652874731876871,0.0669480409368788,0.0558888362392731,0.0557069627385101,0.0552417872515581,0.0526464500584981,0.0528052968914188,0.0689935361808333,0.0666761249086321,0.0518735103053643,0.0552201883895814,0.0601114871280524,0.0673197168479046,0.0590817400252164,0.0576658377588169,0.0634581652122695,0.0695079294414311,0.066161251357214,0.0666761249086321,0.062814573272997,0.0650027858665235,0.065131504254378,0.066161251357214,0.065131504254378,0.0662899697450686,0.0671909984600501,0.0660325329693595,0.0550914700017269,0.0544478780624544,0.062814573272997,0.0568935274316899,0.0566360906559809
PINTURAS CONDOR SA PINTURAS CONDOR SA,C2022.01,90001444,2023-08-09,1.453652902174381,0.0174,0.5857985814169316,0.605925906280975,0.5961048688317553,0.6202556950421072,0.6953514145347942,0.7487119384763787,0.7396339858595287,0.754451844423993,0.7479053561955958,0.7268834523626605,0.6850169825209261,0.7098808208220108,0.7198446275215801,0.7796342601227871,0.7707500496790378,0.7895914385382955,0.7849754513964153,0.7895693433658916,0.8213943841890453,0.8336053497291404,0.8261624078542368,0.8174504292036529,0.8198720750531693,0.8149363432517334,0.791244672196049,0.7829578464052847,0.8149646184487744,0.7638719914831642,0.7686180140506726,0.7751063180246508,0.8030700698172752,0.8633703786949253,0.8704222923633523,0.9645384055145276,0.9958188350964452,0.9320059727323864,1.0000000000000002,0.9540274071271646,0.9434647140498004,0.9651011169179062,0.9091738090024676,0.8955004653209772,0.9009882381442832,0.904836678151224,0.9335386838269204,0.8639083285061894,0.8196626026084038,0.8474181773025349,0.8326080694696858,0.836864423818557,0.8480476702553331,0.8459465136586588,0.8027069021976346,0.730400876121542,0.8106713333549815,0.8261229555468537,0.8142710696610651,0.8486512584282395,0.7561801280060154,0.6960961212061765,0.6834851120843216,0.6950189343570202,0.6680241301767862,0.6542097979545121,0.6536463187466892,0.6604442482746843,0.678455299753975,0.7652324460728479,0.7610863481194869,0.7712014489931444,0.8017922704560492,0.7574181200397679,0.7349433954789066,0.7526830320822747,0.7846982200271542,0.8056174375812337,0.8799874380179773,0.8480587276765534,0.8555829600477183,0.8437838226276855,0.8337373031410448,0.806565207871831,0.8425377971947934,0.899558256904032,0.9477913937358032,0.9422417667831526,0.9269914275441776,0.9258472920303832,0.9279595898607886,0.9183089731614804,0.9104058794516964,0.8900799987165332,0.8904074287196155,0.9068644352132388,0.9172688873623968,0.875562265649398
Desconocido,Desconocido,90001504,2023-03-14,1.3141213642582636,0.015,0.6576767089346292,0.6736872200115731,0.703110964387125,0.6761480584841711,0.6575005836759855,0.6487232618491012,0.7061514596080551,0.6591182372504469,0.6528705899613835,0.6733201113518661,0.6623436359896802,0.621403109340988,0.5598868876356151,0.5459564021886237,0.5428180116601671,0.5098953503110598,0.5140602283307356,0.5334081036957682,0.5241218072942321,0.4978186408524089,0.5243407755823242,0.5362087577928307,0.5327842146513168,0.5664577024729606,0.6741071765047967,0.6804983143424179,0.649103554262313,0.6703787862109143,0.6553225217320504,0.6524479637338279,0.6480852351863701,0.7310695975479149,0.7543620683394152,0.72579892727378,0.7521715916669705,0.8479755959627788,0.8381303400962168,0.8232164918498723,0.807632741236712,0.6201426416759901,0.6155368379593033,0.6028006441934922,0.6432608380996442,0.6617555842548881,0.6629019209220999,0.6653650995546472,0.7260696522510014,0.8203399019712476,0.8239369001875133,1.0,0.8384877512056034,0.8024044821558598,0.7754420314782827,0.7799337768119958,0.779320015995363,0.7097841127035054,0.7684823691862444,0.9014986413784776,0.8663914213758726,0.8984570931586868,0.8190529980149546,0.8985812001955263,0.8867701571550912,0.8663220528238486,0.8191412074804386,0.7979517844783375,0.7996876006687919,0.7953892361984853,0.7529625770913282,0.746728900412017,0.6878014100056359,0.6337319362426027,0.5747088287662073,0.5748645337528986,0.5791720448358446,0.5731502279935057,0.5853766699721322,0.5772047681364956,0.6260458258529552,0.5810253513093644,0.5795324891747388,0.5948778368826207,0.6132590995308864,0.5786708115522473,0.5739202100602037,0.5574311981672864,0.579592571933705,0.5923532159084972,0.5751171026255181,0.5673075280436565,0.6094511732679464,0.5972669240572742,0.5754700440968789,0.5652768631964236,0.5875387863983607,0.6105082207421925
