CODIGOCLIE,Path_archivo_datos,Nombre,CIIU,Mult. de potencias
90000714,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000714-2023.csv,LEVAPAN DEL ECUADOR S.A.,C1079.91,1200.0
90000719,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000719-2023.csv,INDUCALSA INDUSTRIA NACIONAL DE CALZADO S.A. ,C1520.01,600.0
90000723,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000723-2023.csv,ENCHAPES DECORATIVOS S.A. ENDESA,C1621.01,1600.0
90000724,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000724-2023.csv,ENCHAPES DECORATIVOS S.A. ENDESA,C1621.01,800.0
90000728,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000728-2023.csv,SUCESORES DE JACOBO PAREDES M. S.A.,C1074.01,320.0
90000733,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000733-2023.csv,DURALLANTA S.A.,C2211.02,330.0
90000740,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000740-2023.csv,CORRUGADORA NACIONAL CRANSA S.A.,C1702.01,660.0
90000744,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000744-2023.csv,CONFITECA,C1073.21,1100.0
90000749,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000749-2023.csv,Desconocido,Desconocido,Desconocido
90000762,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000762-2023.csv,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,C2013.11,660.0
90000763,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000763-2023.csv,ETERNIT ECUATORIANA SA,C2394.01,2400.0
90000767,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000767-2023.csv,"TORNILLOS, PERNOS Y TUERCAS TOPESA S.A.",C2599.15,660.0
90000772,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000772-2023.csv,INDUSTRIA DE ACERO DE LOS ANDES SA,C2512.01,800.0
90000782,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000782-2023.csv,VITA ALIMENTOS C.A.,C1050.01,1090.91
90000786,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000786-2023.csv,UMCO S.A.,C2599.21,545.45
90000810,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000810-2023.csv,REFRESH CIA. LTDA.,N7730.31,400.0
90000825,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000825-2023.csv,Desconocido,Desconocido,Desconocido
90000835,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000835-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,C1010.11,60.0
90000852,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000852-2023.csv,Desconocido,Desconocido,Desconocido
90001060,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001060-2023.csv,HOLCIM ECUADOR S.A.,C2394.01,220.0
90001099,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001099-2023.csv,Desconocido,Desconocido,Desconocido
90001107,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001107-2023.csv,IMPERIALBC S.A.,C1702.02,600.0
90001108,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001108-2023.csv,IMPERIALBC S.A.,C1702.02,600.0
90001110,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001110-2023.csv,FARMACID S.A.,C2100.01,800.0
90001114,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001114-2023.csv,TEXTILES Y SERVICIOS TEXTISERVI S.A.,C1392.01,621.82
90001115,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001115-2023.csv,Desconocido,Desconocido,Desconocido
90001116,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001116-2023.csv,FESTA S.A.,C1629.11,800.0
90001127,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001127-2023.csv,ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS C.A.,G4649.22,600.0
90001138,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001138-2023.csv,TEXTIL SAN PEDRO SA,C1312.02,1200.0
90001148,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001148-2023.csv,CRISTALES LAMINADOS Y TEMPERADOS CRILAMIT S.A.,C2310.11,1320.0
90001149,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001149-2023.csv,Desconocido,Desconocido,Desconocido
90001150,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001150-2023.csv,LECHE-GLORIA-ECUADOR S.A.,C1050.01,1833.33
90001152,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001152-2023.csv,F.V. AREA ANDINA S.A.,G4752.05,4000.0
90001162,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001162-2023.csv,FERRERO DEL ECUADOR S.A.,C1073.21,1100.0
90001164,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001164-2023.csv,Desconocido,Desconocido,Desconocido
90001165,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001165-2023.csv,LA TEJEDORA S.A. LATESA,L6820.03,1200.0
90001175,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001175-2023.csv,"AC BEBIDAS, S. DE R.L. DE C.V.",C1104.01,400.0
90001184,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001184-2023.csv,CORTINAS Y VISILLOS CORTYVIS C LTDA,C1392.02,1200.0
90001193,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001193-2023.csv,TEXTILES DEL VALLE SA TEXVALLE,C1312.01,1658.18
90001202,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001202-2023.csv,Desconocido,Desconocido,Desconocido
90001204,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001204-2023.csv,Desconocido,Desconocido,Desconocido
90001208,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001208-2023.csv,Desconocido,Desconocido,Desconocido
90001217,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001217-2023.csv,S.J. JERSEY ECUATORIANO C. A.,C1311.02,1600.0
90001233,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001233-2023.csv,CORTINAS Y VISILLOS CORTYVIS C LTDA,C1392.02,1100.0
90001240,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001240-2023.csv,Desconocido,Desconocido,Desconocido
90001245,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001245-2023.csv,LETERAGO DEL ECUADOR S.A.,G4649.22,440.0
90001246,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001246-2023.csv,Desconocido,Desconocido,Desconocido
90001247,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001247-2023.csv,INTELA INDUSTRIA TEXTIL LATINOAMERICANA CIA. LTDA.,C1312.01,660.0
90001254,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001254-2023.csv,MANUFACTURAS ARMADURIAS Y REPUESTOS ECUATORIANOS S.A. MARESA,G4510.01,1600.0
90001261,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001261-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,C1010.11,2000.0
90001271,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001271-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA ,C1010.11,4000.0
90001275,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001275-2023.csv,DENMAR SA,A0119.03,400.0
90001277,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001277-2023.csv,HILSEA INVESTMENTS LIMITED,A0119.03,1440.0
90001294,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001294-2023.csv,EGAR SA,C2930.09,600.0
90001310,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001310-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,C1010.11,1320.0
90001347,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001347-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,C1010.11,330.0
90001350,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001350-2023.csv,Desconocido,Desconocido,Desconocido
90001352,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001352-2023.csv,Desconocido,Desconocido,Desconocido
90001374,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001374-2023.csv,WESTFALIASA S.A.,G4641.12,400.0
90001402,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001402-2023.csv,Desconocido,Desconocido,Desconocido
90001403,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001403-2023.csv,Desconocido,Desconocido,Desconocido
90001423,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001423-2023.csv,Desconocido,Desconocido,Desconocido
90001444,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001444-2023.csv,PINTURAS CONDOR SA PINTURAS CONDOR SA,C2022.01,120.0
90001504,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001504-2023.csv,Desconocido,Desconocido,Desconocido
90001516,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001516-2023.csv,CORPORACION ECUATORIANA DE CONGELADOS PROCONGELADOS S.A.S.,A0150.00,1980.0
90001517,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001517-2023.csv,Desconocido,Desconocido,Desconocido
90001520,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001520-2023.csv,INTEGRACION AVICOLA ORO S.A.,A0146.01,1600.0
90001547,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001547-2023.csv,GALO G. ORBEA O. C LTDA,C2599.15,600.0
90001557,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001557-2023.csv,CRISTALES LAMINADOS Y TEMPERADOS CRILAMIT S.A.,C2310.11,1200.0
90001558,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001558-2023.csv,Desconocido,Desconocido,Desconocido
90001572,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001572-2023.csv,BAKER HUGHES SERVICES INTERNATIONAL S.A.S.,B0910.01,660.0
90001581,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001581-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,C1010.11,3520.0
90001604,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001604-2023.csv,Desconocido,Desconocido,Desconocido
90001618,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001618-2023.csv,EDITORIAL ECUADOR FAUSTO BUCHELI TORRES C LTDA,C1811.02,120.0
90001644,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001644-2023.csv,INTEXDECOR S.A.,G4641.11,1000.0
90001677,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001677-2023.csv,INEXA INDUSTRIA EXTRACTORA C.A.,C2011.91,360.0
90001692,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001692-2023.csv,Desconocido,Desconocido,Desconocido
90001702,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001702-2023.csv,UTOPIA FARMS UTF S.A.S.,A0119.03,1320.0
90001730,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001730-2023.csv,PYGANFLOR S.A.,G4620.15,1320.0
90001733,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001733-2023.csv,QUIMICA COMERCIAL QUIMICIAL CIA. LTDA.,G4669.11,800.0
90001734,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001734-2023.csv,METALTRONIC S.A.,C2930.01,1200.0
90001735,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001735-2023.csv,POLLO FAVORITO SA POFASA,C1080.02,660.0
90001741,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001741-2023.csv,Desconocido,Desconocido,Desconocido
90001743,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001743-2023.csv,INDUSTRIA PIOLERA PONTE SELVA S.A.,C1311.02,1200.0
90001745,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001745-2023.csv,PF GROUP S.A.,C2930.09,660.0
90001755,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001755-2023.csv,LABORATORIOS GUGONZA S.A.,G4772.01,660.0
90001758,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001758-2023.csv,NUTRIFORT S.A.,C1080.02,1200.0
90001759,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001759-2023.csv,TECNIVIDRIO 2000 S.A.,C2310.11,1200.0
90001774,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001774-2023.csv,OMNIBUS BB TRANSPORTES S.A.,C2910.01,2200.0
90001783,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001783-2023.csv,Desconocido,Desconocido,Desconocido
90001787,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001787-2023.csv,CORPORACION SUPERIOR CORSUPERIOR S.A.,G4630.93,400.0
90001794,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001794-2023.csv,FLORES PARA EL MUNDO FLORMUNDO CIA. LTDA.,A0119.03,600.0
90001807,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001807-2023.csv,PLASTICOS Y BROCHAS - WILSON S.A,C3290.32,623.45
90001847,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90001847-2023.csv,AYMESA S.A.,C2910.01,1600.0
90002038,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002038-2023.csv,Desconocido,Desconocido,Desconocido
90002093,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002093-2023.csv,F.V. AREA ANDINA S.A. ,G4752.06,1200.0
90002102,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002102-2023.csv,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,C1010.11,800.0
90002145,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002145-2023.csv,PRODUCTOS SINTETICOS S.A. PROSISA,C2220.11,440.0
90002155,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002155-2023.csv,FABRILACTEOS CIA. LTDA.,C1050.05,120.0
90002171,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002171-2023.csv,Desconocido,Desconocido,Desconocido
90002183,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002183-2023.csv,Desconocido,Desconocido,Desconocido
90002225,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002225-2023.csv,ENNOBLECIMIENTO TEXTIL-ENNOTEX S.A,C1312.01,600.0
90002235,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002235-2023.csv,HORMIGONES Y PISOS HORMIPISOS C.LTDA.,C2395.01,320.0
90002241,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002241-2023.csv,HILSEA INVESTMENTS LIMITED,A0119.03,660.0
90002263,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002263-2023.csv,INDUSTRIA DE MATERIALES DE FRICCION SA IMFRISA,G4530.00,160.0
90002274,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002274-2023.csv,FABRICA DE PAPEL HIGIENICO DEL VALLE FAVALLE CIA. LTDA.,C1709.11,2200.0
90002399,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002399-2023.csv,AGROPLASTICOS CIA. LTDA.,G4669.21,200.0
90002405,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002405-2023.csv,CONFECCIONES RECREATIVAS FIBRAN CIA. LTD A.,C1410.02,800.0
90002419,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002419-2023.csv,Desconocido,Desconocido,Desconocido
90002456,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002456-2023.csv,BAGANT ECUATORIANA C LTDA,C2511.01,660.0
90002458,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002458-2023.csv,SUCESORES DE JACOBO PAREDES M. S.A.,C1074.01,660.0
90002524,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002524-2023.csv,EXPORTADORA DE FLORES EXPOFLOR CIA. LTDA ,A0119.03,320.0
90002539,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002539-2023.csv,Desconocido,Desconocido,Desconocido
90002610,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002610-2023.csv,MYSTICFLOWERS S.A.,A0119.03,720.0
90002711,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90002711-2023.csv,Desconocido,Desconocido,Desconocido
