Cliente,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
90002399,0.5311450326874882,0.5342217934169768,0.5310885711158816,0.5342545440140816,0.5265346928398329,0.5241747161482913,0.518146993188902,0.5151766888789346,0.5150460475883056,0.5062059451789387,0.4962570691213679,0.4833732566655632,0.48592557761167754,0.48062962750542276,0.47404276658697225,0.47399469095926083,0.4733403539118876,0.49857741477103285,0.5250636397076052,0.5357832541763456,0.5288291679577941,0.53007418549921,0.5149137329320339,0.5152228379997442,0.5100267659308974,0.5268374471508237,0.5369751155657178,0.543580942212043,0.5137401185924341,0.5042817630585307,0.49972587293196735,0.5110165068984936,0.511422242174886,0.5037723302839414,0.4878802520907767,0.48732309547696817,0.47691047962286176,0.47131815300079005,0.45696840669647554,0.4647603400276672,0.4807957546327808,0.5102926599643569,0.5227965006555725,0.5338216520366016,0.5307053052558005,0.5361902917882468,0.5511283936499839,0.5451807192726355
90002405,0.3708789717494446,0.3135295090641441,0.3189721748593749,0.3134573586994646,0.3187846446669759,0.3194961939136937,0.31570690471628204,0.31804400010311273,0.3110325532725697,0.3154522867598724,0.3119057514349698,0.34179517790362024,0.3919688059907586,0.3696832950939204,0.3881441553674763,0.5535311419973257,0.6391094967417876,0.6796899096853045,0.704699020444789,0.7206407577712775,0.7212541693825489,0.7299190331780924,0.7388524078735121,0.7377612555376075,0.7330974215879394,0.7407381192143485,0.7291732787758812,0.7178206311098323,0.7207531104685188,0.7187686031295794,0.7145571538381601,0.710369653888348,0.5970376700676563,0.552992351937944,0.5580423831181265,0.544728518854716,0.504687665496887,0.4538728710088047,0.45927734191403724,0.43069039862210357,0.4296322628874323,0.45315022351150325,0.4565474483956993,0.452962865881397,0.44856733614669275,0.4451768105159999,0.42759693025076434,0.4183890414953658
90002419,0.1113231245049791,0.1113231245049791,0.1113231245049791,0.10927711393880374,0.1113231245049791,0.1113231245049791,0.1113231245049791,0.1113231245049791,0.1113231245049791,0.1113231245049791,0.10927711393880374,0.1113231245049791,0.1089784177334386,0.1113231245049791,0.10927711393880374,0.1072311033726284,0.1072311033726284,0.12441594414346585,0.3701781872485954,0.4692488770471345,0.49168705787218014,0.49451284556110076,0.49168705787218014,0.49168705787218014,0.49451284556110076,0.486035482494339,0.49168705787218014,0.5708091131619563,0.525596510139227,0.5087032069167511,0.49168705787218014,0.486035482494339,0.486035482494339,0.4803839071164978,0.4690807563608156,0.3036700643000846,0.12099164179825453,0.11384809205665089,0.11427518781961188,0.11427518781961188,0.11273693227584783,0.11217731603090104,0.1113231245049791,0.1113231245049791,0.1113231245049791,0.11217731603090104,0.1113231245049791,0.1113231245049791
90002456,0.0448320061731544,0.0448320061731544,0.0448320061731544,0.0448320061731544,0.0448320061731544,0.0448320061731544,0.04551127899395975,0.0448320061731544,0.044641822503790896,0.044641822503790896,0.04396254968298555,0.0433112678672395,0.0421149148899329,0.0421149148899329,0.0448628662785517,0.14990217180149365,0.4947626755444044,0.6249390616157073,0.6666072302241481,0.6135875713189198,0.6007551866937081,0.6605461067697148,0.6574223770832207,0.6663297653066785,0.652096218450826,0.6665509598334349,0.6198343886393405,0.46826189137921626,0.42641864480147784,0.6146736237315624,0.617095695332551,0.5617175126104286,0.427414341448918,0.3340155178255448,0.29606976034866384,0.2419457485135679,0.1198053631894261,0.0665934291086044,0.051624734381208154,0.0489076430979866,0.0461905518147651,0.0468698246355705,0.04551127899395975,0.04551127899395975,0.04483595489991232,0.044887243590876,0.0441931376474477,0.0448320061731544
90002458,0.6622584846794609,0.6438646705087524,0.6487126304959829,0.644126926766119,0.6422885211232037,0.6427369565715739,0.6376723670725439,0.6396943794658104,0.6388919517596259,0.6356556974752152,0.6318807510050948,0.6331380716703207,0.6310198439890546,0.6280619334028618,0.6336293752909439,0.6529711170203392,0.657665910218245,0.656885078938303,0.6559372645203698,0.6630980531265293,0.66180646027559,0.6707240001331622,0.6749374309334175,0.6787919543328587,0.6873407243557164,0.6902737447501399,0.6911393211591323,0.689910695330902,0.6926421952964412,0.6960249357654078,0.6950549988039704,0.6914212005380993,0.6884649496969468,0.6844270828595527,0.6841843558564601,0.6825256954659167,0.6768215820096142,0.6737366361833141,0.6811559674713847,0.684315962444159,0.6752387499995651,0.6674347876972138,0.6679006830602932,0.6703746309334853,0.6729073011097559,0.6710700222913661,0.6696226219557506,0.6677506852955056
90002524,0.6594134094607672,0.6588072494055317,0.6573323161693065,0.6550732664983032,0.6618708061378371,0.6588177266895404,0.6588586079807374,0.6661276765214491,0.6829079210388989,0.7188058690900642,0.7445987161384273,0.7396581441087542,0.5713816917383823,0.2448169353235948,0.32251076226412967,0.41666187022574064,0.4312140425598675,0.44463693493341305,0.44132667568284734,0.4385782570659983,0.4595955219283179,0.46314841844895843,0.46838152565876,0.4697984516241308,0.4566422145877169,0.4414729019152761,0.43458001758086195,0.4289033215443847,0.4220975207615951,0.43144418283497077,0.4177402714864132,0.4172232648114394,0.373210114179529,0.3357945806983391,0.3039233929883738,0.2800242655904275,0.24355714073649226,0.2044942646922889,0.35424184419795424,0.5791445091781403,0.5709298185480794,0.5743988483920816,0.5739060631193613,0.5711016409013326,0.5646967666955489,0.6240064723297765,0.6521134055266492,0.6592811841680524
90002539,0.0632038278198642,0.07157552446030915,0.0632038278198642,0.0632038278198642,0.0632038278198642,0.0632038278198642,0.0632038278198642,0.0515887191851206,0.0515887191851206,0.0632038278198642,0.0515887191851206,0.0515887191851206,0.05996041582556555,0.039973610550377,0.0515887191851206,0.0515887191851206,0.039973610550377,0.10226594163163645,0.4546598534547402,0.900258707564549,0.9402158190414007,0.8932650334978423,0.7237947404704024,0.7255952468641436,0.7396177218731678,0.6649836433156139,0.43248463207084004,0.6997596271448154,0.8595227868652339,0.9810265308772815,1.0,0.8642157855689077,0.8854467465172422,0.7509546099063111,0.43167246547819205,0.13386785554156855,0.1261225131626285,0.1019131101125655,0.1199208316511312,0.1019131101125655,0.0909301656066598,0.0909301656066598,0.0799472211007541,0.0909301656066598,0.0632038278198642,0.07157552446030915,0.07157552446030915,0.0632038278198642
90002610,0.7673294308551191,0.764303816364432,0.7653787166130992,0.7676262277654771,0.7671477944842419,0.7499723468059271,0.5904835808719,0.40997795985903784,0.4105730143057127,0.45554303096203197,0.42639206920980455,0.3397760440183919,0.23346347199679782,0.18604697428903455,0.22514460792028462,0.3680839075912114,0.4230185817813698,0.43667776947406234,0.4396252805385033,0.43320326949401533,0.4220641519349837,0.41904777210777794,0.416026416536196,0.4184034809453029,0.35879998805006147,0.27560042049588557,0.2703706128932199,0.3488108033892725,0.3876060285868788,0.388994853523153,0.3550059128339613,0.3299046175746715,0.33000204520392007,0.3108902531660322,0.2864610152050785,0.258351278632456,0.21743765135033655,0.2509178061853388,0.5522849535638157,0.715321037636097,0.7618796700308539,0.7663570107096566,0.7641802731372802,0.7672991549674055,0.7676376359164424,0.7688313187455725,0.7662881278784923,0.7668426637343071
90002711,0.015858097277387198,0.015176113973643001,0.0146527996986898,0.0141294854237366,0.0136061711487834,0.0136061711487834,0.0136061711487834,0.0136061711487834,0.0136061711487834,0.0133526828272688,0.0136061711487834,0.0136061711487834,0.0146527996986898,0.01936262817326865,0.02093257099812825,0.13645512665958232,0.34169195834036065,0.4528279880883166,0.5020872774878506,0.5096529281629705,0.5197563589018774,0.5316332729695573,0.5305250708253686,0.5370603253812931,0.5357457214312633,0.5581638615904506,0.5452737038438283,0.5192627676112291,0.4827519421407648,0.5078596197981896,0.5033763820001876,0.4714253383849044,0.39149349040628434,0.3172508797151822,0.24709093815886274,0.16865472903279422,0.11078558702925395,0.05787307214973047,0.031009297834805126,0.02486245806878295,0.02306602366896505,0.020670913860651702,0.0198859424482219,0.01936262817326865,0.017792685348409,0.016464738441546826,0.0165118666413887,0.015616101359389775
ALIMENTOS SUPERIOR,0.6018156348947958,0.6128296253572975,0.6180961931562021,0.617035963637716,0.6143087270917024,0.6113909754568285,0.6134194391940428,0.6122267625418628,0.6111893687360824,0.6130775559523896,0.6035524539583099,0.6049278163121368,0.5975199111103573,0.5751024181714858,0.5424029824745691,0.5369915710122158,0.5724215054998183,0.5932907371172327,0.5944096870398197,0.5944755843821994,0.5935960832185567,0.59731373724707,0.6018880567265201,0.6062007441832546,0.5936163091355248,0.593654151173723,0.5857353784562667,0.5797328482592989,0.5670753389309102,0.5641256172982481,0.5554134666764969,0.5604001338825214,0.5827987058022936,0.5960408093759522,0.609758548222827,0.6067122641478658,0.5957041457257745,0.5880926764564455,0.6033521521354328,0.6138911597736525,0.632453331958841,0.6189300228944332,0.6145527429931879,0.5993369813928089,0.5878995515718473,0.564315479938174,0.5504874772213766,0.5632448112367365
